speciesId	compartment	initialConcentration	annotation	Source Mapping	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
cyt_prot_int_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	1.24E-38	P16234, P01127, P04085, P09619, P01133	PPrPrint	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_int_FGF__FGFR__FGF__FGFR_	Cytoplasm	8.40E-32	O43320, O76093, Q92914, P21781, P61328, O15520, P05230, Q9GZV9, Q92915, Q9NSA1, P09038, Q9HCT0, Q92913, P08620, P31371, P21802, P55075, P10767, O95750, Q9NP95, P11362, O60258, P12034, P11487	FFrFFrint	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_int_FGF__FGFR__FGF_	Cytoplasm	1.91E-16	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	FFrFrint	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_int_IGF__IGF1R__IGF1R_	Cytoplasm	8.08E-19	P05019, , P01344, P08069	IIrIr_int	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_int_INS__INSR__INSR_	Cytoplasm	1.54E-16	P01308, P00533, P06213	INS_Isr_Isr_int	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_int_IGF__ILGFR1__ILGFR1__IGF_	Cytoplasm	9.56E-38	P05019,P01344,	IIrIrI_int	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_int_INSR__INSR__INS_	Cytoplasm	7.09E-34	P01308, P00533, P06213	INS_Isr_Isr_INS_int	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_int_p_EGF__EGFR__ERBB2_	Cytoplasm	6.13E-16	P01133, P00533, P04626	pEE1E2int	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
cyt_prot_int_p_EGF__EGFR__EGFRvIII_	Cytoplasm	2.26E-27	P01133, P00533	pEE1Ev3int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_p_EGF__EGFR__EGFR_	Cytoplasm	2.12E-15	P01133, P00533	pEE1E1int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_p_EGF__EGFR__EGF__EGFR_	Cytoplasm	4.97E-33	P01133, P00533	pEE1EE1int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_p_EGF__EGFR__ERBB3_	Cytoplasm	2.78E-16	P01133, P00533, P21860	pEE1E3int	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
cyt_prot_int_p_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	1.44E-31	P01133, P00533, Q02297, P21860	pEE1HE3int	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
cyt_prot_int_p_EGF__EGFR__ERBB4_	Cytoplasm	3.33E-44	P21860, Q15303, P00533, P01133	pEE1E4int	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
cyt_prot_int_p_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	3.59E-59	Q02297, P00533, P01133, P21860, Q15303	pEE1HE4int	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
cyt_prot_int_p_ERBB2__NRG1__ERBB3_	Cytoplasm	2.08E-16	P04626, Q02297, P21860	pE2HE3int	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
cyt_prot_int_p_NRG1__ERBB3__EGFRvIII_	Cytoplasm	2.77E-27	Q02297, P21860	pHE3Ev3int	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_int_p_EGFR__NRG1__ERBB3_	Cytoplasm	2.24E-14	P21860, Q02297, P00533, P01133	pE1HE3int	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
cyt_prot_int_p_NRG1__ERBB3__ERBB4_	Cytoplasm	4.32E-44	Q02297, P21860, Q15303	pHE3E4int	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_int_p_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	2.71E-59	Q02297, P21860, Q15303	pHE3HE4int	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_int_p_ERBB2__NRG1__ERBB4_	Cytoplasm	8.71E-44	P04626, Q02297, Q15303	pE2HE4int	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
cyt_prot_int_p_NRG1__ERBB4__EGFRvIII_	Cytoplasm	1.16E-54	Q02297, Q15303	pHE4Ev3int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_p_EGFR__NRG1__ERBB4_	Cytoplasm	9.37E-42	P00533, Q02297, Q15303	pE1HE4int	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
cyt_prot_int_p_ERBB3__NRG1__ERBB4_	Cytoplasm	4.01E-44	P21860, Q02297, Q15303	pE3HE4int	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
cyt_prot_int_p_NRG1__ERBB4__ERBB4_	Cytoplasm	1.69E-71	Q02297, Q15303	pHE4E4int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_p_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	5.78E-87	Q02297, Q15303	pHE4HE4int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_p_HGF_MET__MET_	Cytoplasm	2.02E-13	P14210, P08581	pHGF_Met_Metint	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_int_p_HGF__MET__HGF__MET_	Cytoplasm	3.22E-27	P14210, P08581	pHGF_Met_HGF_Metint	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_int_p_PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	8.32E-42	P16234, P01127, P04085, P09619, P01133	pPPrPPrint	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_int_p_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	1.24E-38	P16234, P01127, P04085, P09619, P01133	pPPrPrint	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_int_p_FGF__FGFR__FGF__FGFR_	Cytoplasm	8.41E-32	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	pFFrFFrint	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_int_p_FGF__FGFR__FGFR_	Cytoplasm	1.91E-16	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	pFFrFrint	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_int_p_IGF__IGF1R__IGF1R_	Cytoplasm	8.09E-19	P05019, , P01344, P08069	pIIrIr_int	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_int_p_INS__INSR__INSR_	Cytoplasm	1.54E-16	P01308, P06213	pINS_Isr_Isr_int	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_int_p_IGF__IGF1R__IGF1R__IGF_	Cytoplasm	9.56E-38	P05019, , P01344, P08069	pIIrIrI_int	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_int_p_INS__INSR__INSR__INS_	Cytoplasm	7.10E-34	P01308, P06213	pINS_Isr_Isr_INS_int	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_int_p_IGF__IGF1R__IGF1R__IRS_	Cytoplasm	6.00E-19	, P35568, P01344, P05019, Q9Y4H2, P08069	pIIrIr_int_IRS	IGF1, IGF2, IGF1R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000169047	ENSG00000185950							
cyt_prot_int_p_INS__INSR__INSR__IRS_	Cytoplasm	1.14E-16	Q9Y4H2, P06213, P35568, P08069, P01308	pINS_Isr_Isr_int_IRS	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
cyt_prot_int_p_IGF__IGF1R__IGF1R__IGF__IRS_	Cytoplasm	7.09E-38	P35568, P01344, P05019, Q9Y4H2, P08069	pIIrIrI_int_IRS	IGF1, IGF2, IGF1R, IGF2R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000197081	ENSG00000169047	ENSG00000185950						
cyt_prot_int_p_INS__INSR__INSR__INS__IRS_	Cytoplasm	5.26E-34	P35568, P06213, Q9Y4H2, P01308	pINS_Isr_Isr_INS_int_IRS	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
cyt_prot_p_EGF__EGFR__ERBB2__GRB2__SOS1_	Cytoplasm	1.66E-19	P01133, P00533, P04626, P62993, Q07889	pEE1E2_G2_SOS	EGF, EGFR, ERBB2, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000141736	ENSG00000177885	ENSG00000115904							
cyt_prot_p_EGF__EGFR__EGFRvIII__GRB2__SOS1_	Cytoplasm	6.79E-31	P01133, P00533, P62993, Q07889	pEE1Ev3_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_p_EGF__EGFR__EGFR__GRB2__SOS1_	Cytoplasm	4.59E-19	P01133, P00533, P62993, Q07889	pEE1E1_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_p_EGF__EGFR__EGF__EGFR__GRB2__SOS1_	Cytoplasm	1.07E-36	P01133, P00533, P62993, Q07889	pEE1EE1_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_p_EGF__EGFR__ERBB3__GRB2__SOS1_	Cytoplasm	6.69E-20	P01133, P00533, P21860, P62993, Q07889	pEE1E3_G2_SOS	EGF, EGFR, ERBB3, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_p_EGF__EGFR__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	3.47E-35	P01133, P00533, Q02297, P21860, P62993, Q07889	pEE1HE3_G2_SOS	EGF, EGFR, NRG1, ERBB3, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904						
cyt_prot_p_EGF__EGFR__ERBB4__GRB2__SOS1_	Cytoplasm	1.10E-47	P01133, P00533, Q15303, P62993, Q07889	pEE1E4_G2_SOS	EGF, EGFR, ERBB4, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_EGF__EGFR__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	1.19E-62	P01133, P00533, Q02297, Q15303, P62993, Q07889	pEE1HE4_G2_SOS	EGF, EGFR, NRG1, ERBB4, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904						
cyt_prot_p_ERBB2__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	4.07E-19	P04626, Q02297, P21860, P62993, Q07889	pE2HE3_G2_SOS	ERBB2, NRG1, ERBB3, GRB2, SOS1	ENSG00000141736	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_p_NRG1__ERBB3__EGFRvIII__GRB2__SOS1_	Cytoplasm	6.18E-30	Q02297, P21860, P62993, Q07889	pHE3Ev3_G2_SOS	NRG1, ERBB3, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904								
cyt_prot_p_EGFR__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	5.39E-18	P00533, Q02297, P21860, P62993, Q07889	pE1HE3_G2_SOS	EGFR, NRG1, ERBB3, GRB2, SOS1	ENSG00000146648	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_	Cytoplasm	1.09E-46	Q02297, P21860, Q15303, P62993, Q07889	pHE3E4_G2_SOS	NRG1, ERBB3, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	6.80E-62	Q02297, P21860,  Q15303, P62993, Q07889	pHE3HE4_G2_SOS	NRG1, ERBB3, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	2.43E-46	P04626, Q02297, Q15303, P62993, Q07889	pE2HE4_G2_SOS	ERBB2, NRG1, ERBB4, GRB2, SOS1	ENSG00000141736	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_	Cytoplasm	3.57E-57	Q02297, Q15303, P62993, Q07889	pHE4Ev3_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_p_EGFR__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	3.10E-45	P00533, Q02297, Q15303, P62993, Q07889	pE1HE4_G2_SOS	EGFR, NRG1, ERBB4, GRB2, SOS1	ENSG00000146648	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	1.01E-46	P21860, Q02297, Q15303, P62993, Q07889	pE3HE4_G2_SOS	ERBB3, NRG1, ERBB4, GRB2, SOS1	ENSG00000065361	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_	Cytoplasm	5.65E-74	Q02297, Q15303, P62993, Q07889	pHE4E4_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	1.93E-89	Q02297, Q15303, P62993, Q07889	pHE4HE4_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_p_HGF__MET__MET__GRB2__SOS1_	Cytoplasm	1.13E-16	P14210, P08581, P62993, Q07889	pHGF_Met_Met_G2_SOS	HGF, MET, GRB2, SOS1	ENSG00000019991	ENSG00000105976	ENSG00000177885	ENSG00000115904								
cyt_prot_p_HGF__MET__HGF__MET__GRB2__SOS1_	Cytoplasm	1.80E-30	P14210, P08581, P62993, Q07889	pHGF_Met_HGF_Met_G2_SOS	HGF, MET, GRB2, SOS1	ENSG00000019991	ENSG00000105976	ENSG00000177885	ENSG00000115904								
cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_	Cytoplasm	2.32E-45	P16234, P09619, Q07889, P01127, P04085, P01133, P62993	pPPrPPr_G2_SOS	PDGFB, PDGFRA, PDGFRB, GRB2, SOS1	ENSG00000100311	ENSG00000134853	ENSG00000113721	ENSG00000177885	ENSG00000115904							
cyt_prot_p__PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_	Cytoplasm	3.47E-42	P16234, P09619, Q07889, P01127, P04085, P01133, P62993	pPPrPr_G2_SOS	PDGFB, PDGFRA, PDGFRB, GRB2, SOS1	ENSG00000100311	ENSG00000134853	ENSG00000113721	ENSG00000177885	ENSG00000115904							
cyt_prot_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_	Cytoplasm	1.88E-34	P21781, P21802, P12034, P11362, Q9HCT0, O76093, Q07889, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, P62993, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	pFFrFFr_G2_SOS	FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468	ENSG00000177885	ENSG00000115904						
cyt_prot_p_FGF__FGFR__FGFR__GRB2__SOS1_	Cytoplasm	4.26E-19	P21781, P21802, P12034, P11362, Q9HCT0, O76093, Q07889, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, P62993, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	pFFrFr_G2_SOS	FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468	ENSG00000177885	ENSG00000115904						
cyt_prot_p_IGF__IGF1R__IGF1R__IRS__GRB2__SOS1_	Cytoplasm	2.03E-22	P08069, Q07889, Q9Y4H2, P05019, P35568, , P62993, P01344	pIIrIr_IRS_G2_SOS	IGF1, IGF2, IGF1R, GRB2, SOS1	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000177885	ENSG00000115904							
cyt_prot_p_INS__INSR__INSR__IRS__GRB2__SOS1_	Cytoplasm	3.75E-20	P35568, Q07889, Q9Y4H2, P06213, P01308, P62993	pINS_Isr_Isr_IRS_G2_SOS	INS, INSR, GRB2, SOS1	ENSG00000254647	ENSG00000171105	ENSG00000177885	ENSG00000115904								
cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1_	Cytoplasm	2.39E-41	P08069, Q07889, Q9Y4H2, P05019, P35568, , P62993, P01344	pIIrIrI_IRS_G2_SOS	IGF1, IGF2, IGF1R, GRB2, SOS1	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000177885	ENSG00000115904							
cyt_prot_p_INS__INSR__INSR__INS__IRS__GRB2__SOS1_	Cytoplasm	1.73E-37	P35568, Q07889, Q9Y4H2, P06213, P01308, P62993	pINS_Isr_Isr_INS_IRS_G2_SOS	INS, INSR, GRB2, SOS1	ENSG00000254647	ENSG00000171105	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGF__EGFR__ERBB2__GRB2__SOS1_	Cytoplasm	5.96E-19	P00533, P62993, P04626, Q07889, P01133	pEE1E2int_G2_SOS	EGF, EGFR, ERBB2, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000141736	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_EGF__EGFR__EGFRvIII__GRB2__SOS1_	Cytoplasm	2.44E-30	Q07889, P00533, P62993, P01133	pEE1Ev3int_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGF__EGFR__EGFR__GRB2__SOS1_	Cytoplasm	2.29E-18	Q07889, P00533, P62993, P01133	pEE1E1int_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGF__EGFR__EGF__EGFR__GRB2__SOS1_	Cytoplasm	5.36E-36	Q07889, P00533, P62993, P01133	pEE1EE1int_G2_SOS	EGF, EGFR, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGF__EGFR__ERBB3__GRB2__SOS1_	Cytoplasm	2.40E-19	Q07889, P21860, P62993, P01133	pEE1E3int_G2_SOS	EGF, EGFR, ERBB3, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_EGF__EGFR__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	1.25E-34	Q07889, Q02297, P62993, P01133	pEE1HE3int_G2_SOS	EGF, EGFR, NRG1, ERBB3, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904						
cyt_prot_int_p_EGF__EGFR__ERBB4__GRB2__SOS1_	Cytoplasm	3.96E-47	Q07889, Q15303, P62993, P01133	pEE1E4int_G2_SOS	EGF, EGFR, ERBB4, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_EGF__EGFR__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	4.27E-62	Q07889, Q02297, P62993, P01133	pEE1HE4int_G2_SOS	EGF, EGFR, NRG1, ERBB4, GRB2, SOS1	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904						
cyt_prot_int_p_ERBB2__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	1.57E-19	Q07889, Q02297, P62993, P21860	pE2HE3int_G2_SOS	ERBB2, NRG1, ERBB3, GRB2, SOS1	ENSG00000141736	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_NRG1__ERBB3_EGFRvIII__GRB2__SOS1_	Cytoplasm	2.39E-30	Q07889, Q02297, P62993, P21860	pHE3Ev3int_G2_SOS	NRG1, ERBB3, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGFR__NRG1__ERBB3__GRB2__SOS1_	Cytoplasm	1.93E-17	Q07889, Q02297, P62993, P21860	pE1HE3int_G2_SOS	EGFR, NRG1, ERBB3, GRB2, SOS1	ENSG00000146648	ENSG00000157168	ENSG00000065361	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_	Cytoplasm	4.21E-47	Q07889, Q02297, P62993, Q15303	pHE3E4int_G2_SOS	NRG1, ERBB3, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	2.64E-62	Q07889, Q02297, P62993, Q15303	pHE3HE4int_G2_SOS	NRG1, ERBB3, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000065361	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	9.41E-47	Q07889, Q02297, P62993, Q15303	pE2HE4int_G2_SOS	ERBB2, NRG1, ERBB4, GRB2, SOS1	ENSG00000141736	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_	Cytoplasm	1.38E-57	Q07889, Q02297, P62993, Q15303	pHE4Ev3int_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_EGFR__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	1.11E-44	Q07889, Q02297, P62993, Q15303	pE1HE4int_G2_SOS	EGFR, NRG1, ERBB4, GRB2, SOS1	ENSG00000146648	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	3.90E-47	Q07889, Q02297, P62993, Q15303	pE3HE4int_G2_SOS	ERBB3, NRG1, ERBB4, GRB2, SOS1	ENSG00000065361	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_	Cytoplasm	2.19E-74	Q07889, Q02297, P62993, Q15303	pHE4E4int_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_	Cytoplasm	7.49E-90	Q07889, Q02297, P62993, Q15303	pHE4HE4int_G2_SOS	NRG1, ERBB4, GRB2, SOS1	ENSG00000157168	ENSG00000178568	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_HGF__MET__MET__GRB2__SOS1_	Cytoplasm	4.37E-17	Q07889, P08581, P62993, P14210	pHGF_Met_Metint_G2_SOS	HGF, MET, GRB2, SOS1	ENSG00000019991	ENSG00000105976	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_HGF__MET__HGF__MET__GRB2__SOS1_	Cytoplasm	6.95E-31	Q07889, P08581, P62993, P14210	pHGF_Met_HGF_Metint_G2_SOS	HGF, MET, GRB2, SOS1	ENSG00000019991	ENSG00000105976	ENSG00000177885	ENSG00000115904								
cyt_prot_int_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_	Cytoplasm	8.99E-46	P62993, P09619, P16234, P04085, Q07889, P01133	pPPrPPrint_G2_SOS	PDGFB, PDGFRA, PDGFRB, GRB2, SOS1	ENSG00000100311	ENSG00000134853	ENSG00000113721	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_	Cytoplasm	1.34E-42	P62993, P09619, P16234, P04085, Q07889, P01133	pPPrPrint_G2_SOS	PDGFB, PDGFRA, PDGFRB, GRB2, SOS1	ENSG00000100311	ENSG00000134853	ENSG00000113721	ENSG00000177885	ENSG00000115904							
cyt_prot_int_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_	Cytoplasm	7.27E-35	P12034, Q9NSA1, P21781, Q9GZV9, O43320, Q92915, P09038, O60258, P08620, P05230, P21802, P62993, Q9HCT0, O95750, Q92914, P31371, P10767, Q9NP95, O76093, P61328, P11487, Q92913, O15520, Q07889, P55075, P11362	pFFrFFrint_G2_SOS	FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468	ENSG00000177885	ENSG00000115904						
cyt_prot_int_p_FGF__FGFR__FGFR__GRB2__SOS1_	Cytoplasm	1.65E-19	P12034, Q9NSA1, P21781, Q9GZV9, O43320, Q92915, P09038, O60258, P08620, P05230, P21802, P62993, Q9HCT0, O95750, Q92914, P31371, P10767, Q9NP95, O76093, P61328, P11487, Q92913, O15520, Q07889, P55075, P11362	pFFrFrint_G2_SOS	FGF1, FGF2, FGFR1, FGFR2, GRB2, SOS1	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468	ENSG00000177885	ENSG00000115904						
